cal_date,is_open,pretrade_date,exchange
2027-08-22,0,2027-08-20,SSE
2027-08-23,1,2027-08-20,SSE
2027-08-24,1,2027-08-23,SSE
2027-08-25,1,2027-08-24,SSE
2027-08-26,1,2027-08-25,SSE
2027-08-27,1,2027-08-26,SSE
2027-08-28,0,2027-08-27,SSE
2027-08-29,0,2027-08-27,SSE
2027-08-30,1,2027-08-27,SSE
2027-08-31,1,2027-08-30,SSE
2027-09-01,1,2027-08-31,SSE
2027-09-02,1,2027-09-01,SSE
2027-09-03,1,2027-09-02,SSE
2027-09-04,0,2027-09-03,SSE
2027-09-05,0,2027-09-03,SSE
2027-09-06,1,2027-09-03,SSE
2027-09-07,1,2027-09-06,SSE
2027-09-08,1,2027-09-07,SSE
2027-09-09,1,2027-09-08,SSE
2027-09-10,1,2027-09-09,SSE
2027-09-11,0,2027-09-10,SSE
2027-09-12,0,2027-09-10,SSE
2027-09-13,1,2027-09-10,SSE
2027-09-14,1,2027-09-13,SSE
2027-09-15,0,2027-09-14,SSE
2027-09-16,0,2027-09-14,SSE
2027-09-17,0,2027-09-14,SSE
2027-09-18,0,2027-09-14,SSE
2027-09-19,0,2027-09-14,SSE
2027-09-20,1,2027-09-14,SSE
2027-09-21,1,2027-09-20,SSE
2027-09-22,1,2027-09-21,SSE
2027-09-23,1,2027-09-22,SSE
2027-09-24,1,2027-09-23,SSE
2027-09-25,0,2027-09-24,SSE
2027-09-26,0,2027-09-24,SSE
2027-09-27,1,2027-09-24,SSE
2027-09-28,1,2027-09-27,SSE
2027-09-29,1,2027-09-28,SSE
2027-09-30,1,2027-09-29,SSE
2027-10-01,0,2027-09-30,SSE
2027-10-02,0,2027-09-30,SSE
2027-10-03,0,2027-09-30,SSE
2027-10-04,0,2027-09-30,SSE
2027-10-05,0,2027-09-30,SSE
2027-10-06,0,2027-09-30,SSE
2027-10-07,0,2027-09-30,SSE
2027-10-08,1,2027-09-30,SSE
2027-10-09,0,2027-10-08,SSE
2027-10-10,0,2027-10-08,SSE
2027-10-11,1,2027-10-08,SSE
2027-10-12,1,2027-10-11,SSE
2027-10-13,1,2027-10-12,SSE
2027-10-14,1,2027-10-13,SSE
2027-10-15,1,2027-10-14,SSE
2027-10-16,0,2027-10-15,SSE
2027-10-17,0,2027-10-15,SSE
2027-10-18,1,2027-10-15,SSE
2027-10-19,1,2027-10-18,SSE
2027-10-20,1,2027-10-19,SSE
2027-10-21,1,2027-10-20,SSE
2027-10-22,1,2027-10-21,SSE
2027-10-23,0,2027-10-22,SSE
2027-10-24,0,2027-10-22,SSE
2027-10-25,1,2027-10-22,SSE
2027-10-26,1,2027-10-25,SSE
2027-10-27,1,2027-10-26,SSE
2027-10-28,1,2027-10-27,SSE
2027-10-29,1,2027-10-28,SSE
2027-10-30,0,2027-10-29,SSE
2027-10-31,0,2027-10-29,SSE
2027-11-01,1,2027-10-29,SSE
2027-11-02,1,2027-11-01,SSE
2027-11-03,1,2027-11-02,SSE
2027-11-04,1,2027-11-03,SSE
2027-11-05,1,2027-11-04,SSE
2027-11-06,0,2027-11-05,SSE
2027-11-07,0,2027-11-05,SSE
2027-11-08,1,2027-11-05,SSE
2027-11-09,1,2027-11-08,SSE
2027-11-10,1,2027-11-09,SSE
2027-11-11,1,2027-11-10,SSE
2027-11-12,1,2027-11-11,SSE
2027-11-13,0,2027-11-12,SSE
2027-11-14,0,2027-11-12,SSE
2027-11-15,1,2027-11-12,SSE
2027-11-16,1,2027-11-15,SSE
2027-11-17,1,2027-11-16,SSE
2027-11-18,1,2027-11-17,SSE
2027-11-19,1,2027-11-18,SSE
2027-11-20,0,2027-11-19,SSE
2027-11-21,0,2027-11-19,SSE
2027-11-22,1,2027-11-19,SSE
2027-11-23,1,2027-11-22,SSE
2027-11-24,1,2027-11-23,SSE
2027-11-25,1,2027-11-24,SSE
2027-11-26,1,2027-11-25,SSE
2027-11-27,0,2027-11-26,SSE
2027-11-28,0,2027-11-26,SSE
2027-11-29,1,2027-11-26,SSE
2027-11-30,1,2027-11-29,SSE
2027-12-01,1,2027-11-30,SSE
2027-12-02,1,2027-12-01,SSE
2027-12-03,1,2027-12-02,SSE
2027-12-04,0,2027-12-03,SSE
2027-12-05,0,2027-12-03,SSE
2027-12-06,1,2027-12-03,SSE
2027-12-07,1,2027-12-06,SSE
2027-12-08,1,2027-12-07,SSE
2027-12-09,1,2027-12-08,SSE
2027-12-10,1,2027-12-09,SSE
2027-12-11,0,2027-12-10,SSE
2027-12-12,0,2027-12-10,SSE
2027-12-13,1,2027-12-10,SSE
2027-12-14,1,2027-12-13,SSE
2027-12-15,1,2027-12-14,SSE
2027-12-16,1,2027-12-15,SSE
2027-12-17,1,2027-12-16,SSE
2027-12-18,0,2027-12-17,SSE
2027-12-19,0,2027-12-17,SSE
2027-12-20,1,2027-12-17,SSE
2027-12-21,1,2027-12-20,SSE
2027-12-22,1,2027-12-21,SSE
2027-12-23,1,2027-12-22,SSE
2027-12-24,1,2027-12-23,SSE
2027-12-25,0,2027-12-24,SSE
2027-12-26,0,2027-12-24,SSE
2027-12-27,1,2027-12-24,SSE
2027-12-28,1,2027-12-27,SSE
2027-12-29,1,2027-12-28,SSE
2027-12-30,1,2027-12-29,SSE
2027-12-31,1,2027-12-30,SSE
