trade_date,trade_time,ts_code,name,open,high,low,close,volume,amount,source,created_at,pre_close,avg_price,vwap_cum,ret_from_open,ret_from_prev_min,bar_index,session
20260812,2026-08-12 09:53:00,600150.SH,中国船舶,33.7,33.7,33.68,33.68,266800.0,8987645.0,tushare,2026-08-13 20:05:40,,33.686825337331335,35.96907464585364,-0.020075647366889715,-0.0005934718100890635,30432,morning
20260812,2026-08-12 09:54:00,600150.SH,中国船舶,33.68,33.69,33.66,33.66,338600.0,11402520.0,tushare,2026-08-13 20:05:40,,33.675487300649735,35.969014418755584,-0.020657550189118412,-0.000593824228028561,30433,morning
20260812,2026-08-12 09:55:00,600150.SH,中国船舶,33.66,33.68,33.65,33.66,686277.0,23102060.0,tushare,2026-08-13 20:05:40,,33.66287956612272,35.96889168875664,-0.020657550189118412,0.0,30434,morning
20260812,2026-08-12 09:56:00,600150.SH,中国船舶,33.66,33.71,33.66,33.71,594540.0,20029200.0,tushare,2026-08-13 20:05:40,,33.688565950146334,35.96878655927273,-0.01920279313354656,0.0014854426619133054,30435,morning
20260812,2026-08-12 09:57:00,600150.SH,中国船舶,33.71,33.71,33.69,33.7,245000.0,8257605.0,tushare,2026-08-13 20:05:40,,33.704510204081636,35.96874354289575,-0.019493744544660907,-0.00029664787896765965,30436,morning
20260812,2026-08-12 09:58:00,600150.SH,中国船舶,33.69,33.83,33.68,33.8,661929.0,22333048.0,tushare,2026-08-13 20:05:40,,33.73934062414549,35.968629119193146,-0.016584230433517644,0.0029673590504448732,30437,morning
20260812,2026-08-12 09:59:00,600150.SH,中国船舶,33.8,33.85,33.8,33.83,399700.0,13520658.0,tushare,2026-08-13 20:05:40,,33.827015261446086,35.96856274826665,-0.015711376200174598,0.0008875739644971237,30438,morning
20260812,2026-08-12 10:00:00,600150.SH,中国船舶,33.83,33.83,33.8,33.83,375467.0,12697732.0,tushare,2026-08-13 20:05:40,,33.81850335715256,35.96850015722925,-0.015711376200174598,0.0,30439,morning
20260812,2026-08-12 10:01:00,600150.SH,中国船舶,33.83,33.86,33.83,33.84,314155.0,10630818.0,tushare,2026-08-13 20:05:40,,33.83940411580271,35.96844829889401,-0.015420424789060028,0.0002955956251848857,30440,morning
20260812,2026-08-12 10:02:00,600150.SH,中国船舶,33.84,33.87,33.84,33.86,324990.0,11004021.0,tushare,2026-08-13 20:05:40,,33.85956798670728,35.96839516271398,-0.014838521966831442,0.0005910165484632746,30441,morning
